moa,precision,recall,f1
AKT,0.5956410256410256,1.0,0.741077694235589
AURORA KINASE,0.8714285714285713,0.5,0.6324143692564744
CDK,0.41515151515151516,0.3619047619047619,0.3848320413436693
EGFR,0.7265983925330568,0.6296296296296295,0.6697929512398686
HDAC,0.7278928803980279,0.5833333333333334,0.6446642329846851
HMGCR,0.15303030303030302,0.2,0.16705882352941176
JAK,0.1931647300068353,0.17333333333333334,0.1774578362813657
MTOR,0.8605555555555556,0.6166666666666667,0.7046167557932265
PARP,0.5399482870071106,0.5333333333333333,0.5287662337662338
TOPOISOMERASE,0.2475879120879121,0.4166666666666667,0.3057555531239742
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.1138095238095238,0.16666666666666666,0.13376068376068379
VEGFR,0.042222222222222223,0.13333333333333333,0.0641025641025641
