moa,precision,recall,f1
AKT,0.07076923076923078,0.06666666666666667,0.06493506493506493
AURORA KINASE,0.2225,0.22222222222222224,0.21984564682923097
CDK,0.2851082251082251,0.15555555555555556,0.19895776025429426
EGFR,0.3488426573426574,0.3714285714285714,0.3567547798643038
HDAC,0.7314564756425221,0.6666666666666666,0.6967104664329222
HMGCR,0.2,0.03333333333333333,0.05714285714285714
JAK,0.24511323763955342,0.26666666666666666,0.2541008868959801
MTOR,0.405498423145482,0.5333333333333334,0.4521286583598957
PARP,0.2764116902047936,0.36666666666666664,0.31423254703414893
TOPOISOMERASE,0.44540509645153603,0.6666666666666666,0.5280571205243063
TUBULIN,0.6515873015873015,0.5111111111111112,0.5617521367521368
TYROSINE KINASE,0.049206349206349205,0.06666666666666667,0.05656565656565656
VEGFR,0.06222222222222222,0.05,0.05541125541125541
