moa,precision,recall,f1
AKT,0.32121212121212117,0.15555555555555553,0.1933333333333333
AURORA KINASE,0.32606060606060605,0.24444444444444446,0.2782027168234065
CDK,0.26674208144796385,0.16296296296296298,0.19949060592763973
HDAC,0.6359750756489888,0.6844444444444445,0.6577002244979423
HMGCR,0.05,0.03333333333333333,0.04
JAK,0.28551814318404706,0.29523809523809524,0.28987012987012983
MTOR,0.44591269841269837,0.6,0.5073400673400673
PARP,0.374025974025974,0.45,0.40636977058029683
TOPOISOMERASE,0.47206521739130436,0.7166666666666666,0.5667857142857143
TUBULIN,0.6599999999999999,0.5333333333333334,0.5626257952573741
TYROSINE KINASE,0.340246606196542,0.3777777777777778,0.3579338234075077
VEGFR,0.11166666666666666,0.09999999999999999,0.10451178451178451
