moa,precision,recall,f1
AKT,0.4233766233766233,0.4,0.4052631578947368
AURORA KINASE,0.35783180778032037,0.3111111111111111,0.324635510288308
CDK,0.27356797791580395,0.16296296296296292,0.20100729622680844
HDAC,0.6985594099193694,0.6444444444444444,0.6698003956827485
HMGCR,0.2,0.03333333333333333,0.05714285714285714
JAK,0.2535610661268556,0.35238095238095235,0.2884652628249577
MTOR,0.48054093567251466,0.7333333333333333,0.5795084485407066
PARP,0.2790185676392573,0.325,0.2997106918238993
TOPOISOMERASE,0.46096763648251066,0.6833333333333333,0.546671393123006
TUBULIN,0.7809523809523808,0.6,0.6749999999999999
TYROSINE KINASE,0.3854087419251594,0.37333333333333335,0.3776542065698692
