moa,precision,recall,f1
AKT,0.1,0.06666666666666667,0.07782805429864253
AURORA KINASE,0.38047008547008543,0.2777777777777778,0.31680307183153483
CDK,0.13563728325338234,0.0962962962962963,0.11109658457484546
EGFR,0.34890217776613286,0.4666666666666667,0.39696884983656494
HDAC,0.735532768799074,0.6888888888888889,0.7101984130904525
HMGCR,0.0,0.0,0.0
JAK,0.2533485162180814,0.3142857142857142,0.28018875534403487
MTOR,0.5381818181818182,0.7166666666666667,0.6060528559249787
PARP,0.3622189115232593,0.38333333333333336,0.36991202238810617
TOPOISOMERASE,0.41113997113997114,0.6666666666666666,0.5051614181025946
TUBULIN,0.851948051948052,0.6,0.6907142857142858
TYROSINE KINASE,0.08561076604554865,0.08333333333333333,0.08416439352609566
