moa,precision,recall,f1
AKT,0.3238961038961039,0.26666666666666666,0.2749280131633073
AURORA KINASE,0.378285374755963,0.36666666666666664,0.3679697613730597
CDK,0.19098594903548463,0.14285714285714285,0.161998311286237
EGFR,0.45133572997350074,0.28888888888888886,0.3501032059727712
HDAC,0.7978943278943279,0.7791666666666666,0.7868692535452704
HMGCR,0.6357142857142858,0.4666666666666667,0.5323076923076923
JAK,0.17934065934065932,0.10666666666666666,0.12930049261083743
MTOR,0.6164069264069264,0.6166666666666667,0.6116782573304314
PARP,0.28694942002682866,0.3777777777777777,0.32369052197528425
TOPOISOMERASE,0.6299242424242424,0.8666666666666666,0.7187567334626157
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.06624649859943979,0.16666666666666666,0.09439613526570048
VEGFR,0.0,0.0,0.0
