moa,precision,recall,f1
AKT,0.20410256410256408,0.26666666666666666,0.22513556618819774
AURORA KINASE,0.3262362637362638,0.35000000000000003,0.33482783882783884
CDK,0.24167299177735613,0.24761904761904757,0.24048209362715137
HDAC,0.7638795501793826,0.775,0.7686783257074584
HMGCR,0.5866666666666667,0.4333333333333333,0.47575757575757577
JAK,0.06857142857142857,0.04,0.05018181818181818
MTOR,0.7735314685314685,0.6333333333333333,0.6907667984189724
PARP,0.34177489177489184,0.3555555555555555,0.33984848484848484
TOPOISOMERASE,0.645388471177945,0.9166666666666666,0.7535646999356678
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.39548131080389143,0.34545454545454546,0.3651506483600305
VEGFR,0.0,0.0,0.0
