moa,precision,recall,f1
AKT,0.1996003996003996,0.3333333333333333,0.24500119075970467
AURORA KINASE,0.39435897435897427,0.45,0.41188095238095235
CDK,0.23336601307189545,0.16190476190476188,0.1881045783932032
HDAC,0.8285347614222994,0.825,0.826529909742764
HMGCR,0.38095238095238093,0.33333333333333337,0.34752136752136753
JAK,0.1,0.09333333333333334,0.09655172413793103
MTOR,0.6845571095571096,0.6333333333333333,0.6524637681159421
PARP,0.2903599578656787,0.32222222222222224,0.30486001949416586
TOPOISOMERASE,0.6882936507936508,0.9,0.7730402930402931
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.37411270155172593,0.3897435897435897,0.380710537518765
