moa,precision,recall,f1
AKT,0.2716666666666666,0.26666666666666666,0.26002886002886
AURORA KINASE,0.5278388278388279,0.4666666666666666,0.480046783625731
CDK,0.2684432234432234,0.18095238095238092,0.20907305450916
EGFR,0.43424242424242426,0.3333333333333333,0.3762342383762015
HDAC,0.8026073234413176,0.7833333333333333,0.7904347797335569
HMGCR,0.4833333333333334,0.4,0.42444444444444446
JAK,0.19614718614718613,0.14666666666666667,0.16595855918194752
MTOR,0.6875124875124875,0.6166666666666667,0.6417940503432494
PARP,0.30200590807042416,0.4444444444444445,0.35541787659257723
TOPOISOMERASE,0.743131868131868,0.9,0.8127472527472527
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.17123502304147464,0.29333333333333333,0.21546835705581913
