moa,precision,recall,f1
AKT,0.19448717948717947,0.17777777777777776,0.18037178507766743
AURORA KINASE,0.24898989898989896,0.2777777777777778,0.2560308972073678
CDK,0.2828514725728348,0.16296296296296295,0.2047742660786139
EGFR,0.4321070234113712,0.5047619047619046,0.4649948270433179
HDAC,0.6576031754944041,0.6755555555555556,0.6653166847294727
HMGCR,0.35,0.1,0.14714285714285716
JAK,0.25663141118516375,0.26666666666666666,0.25948562463068237
MTOR,0.5171107916850951,0.7,0.5933931474532143
PARP,0.24919254658385093,0.3,0.27086222450427705
TOPOISOMERASE,0.4219461697722567,0.6833333333333333,0.5196536796536797
TUBULIN,0.6259523809523809,0.4444444444444445,0.5166946778711484
TYROSINE KINASE,0.07857142857142857,0.05333333333333333,0.06262626262626263
VEGFR,0.052500000000000005,0.05,0.05064935064935065
