moa,precision,recall,f1
AKT,0.2233333333333333,0.19999999999999998,0.20571428571428568
AURORA KINASE,0.2580440872000974,0.2666666666666667,0.2612347002590905
CDK,0.31769496204278813,0.22222222222222224,0.259733206481001
HDAC,0.6421814038674504,0.6666666666666666,0.6530574327101728
HMGCR,0.26666666666666666,0.2,0.22666666666666666
JAK,0.24769446240034476,0.22857142857142856,0.23538316470990656
MTOR,0.5942510121457489,0.75,0.660294458229942
PARP,0.33379711686163294,0.39166666666666666,0.35918598944914737
TOPOISOMERASE,0.42848431238524115,0.6666666666666666,0.5198335699938788
TUBULIN,0.5809523809523809,0.4444444444444445,0.4891243946971501
TYROSINE KINASE,0.31451680672268906,0.31666666666666665,0.31480443508874156
VEGFR,0.09675324675324674,0.06666666666666667,0.07844393592677346
