moa,precision,recall,f1
AKT,0.3892857142857143,0.2666666666666666,0.3099547511312218
AURORA KINASE,0.2690692247861032,0.3,0.2796924924444521
CDK,0.3481351981351981,0.2,0.24785890064527835
HDAC,0.6563333026932622,0.6666666666666666,0.6611277450349577
HMGCR,0.06666666666666667,0.03333333333333333,0.04444444444444444
JAK,0.18804666390956715,0.24761904761904763,0.2122172709155412
MTOR,0.5307936507936508,0.6499999999999999,0.5821652421652421
PARP,0.37052651253738206,0.45,0.40303713547612174
TOPOISOMERASE,0.4950065359477124,0.6833333333333333,0.5597633370047163
TUBULIN,0.6778571428571428,0.37777777777777777,0.46260122230710465
TYROSINE KINASE,0.38451560005086904,0.3555555555555555,0.36708226408817934
