moa,precision,recall,f1
AKT,0.35888888888888887,0.22222222222222218,0.2669108669108669
AURORA KINASE,0.2803232323232323,0.25555555555555554,0.2616377082776441
CDK,0.2511057178116002,0.15555555555555556,0.18896123460382946
EGFR,0.28744400527009223,0.3333333333333333,0.30788763144440295
HDAC,0.7219590193754327,0.6666666666666666,0.6908008021692014
HMGCR,0.3,0.06666666666666667,0.10714285714285714
JAK,0.19093297507090612,0.24761904761904763,0.2144948018528836
MTOR,0.538674089068826,0.7666666666666667,0.6245319750990379
PARP,0.3673234811165845,0.4,0.3823927829477219
TOPOISOMERASE,0.44337313872917583,0.6833333333333333,0.5370141908517881
TUBULIN,0.7338095238095239,0.4666666666666666,0.5649267399267399
TYROSINE KINASE,0.12315018315018315,0.125,0.12392743764172334
