moa,precision,recall,f1
AKT,0.35454545454545455,0.3333333333333333,0.3205882352941177
AURORA KINASE,0.48277511961722475,0.5166666666666667,0.48895612101783203
CDK,0.20766064001358114,0.17142857142857143,0.18357095233830462
EGFR,0.4834360410830999,0.31851851851851853,0.38282828282828285
HDAC,0.8113674136891962,0.75,0.7790229810774444
HMGCR,0.3583333333333333,0.3333333333333333,0.33174603174603173
JAK,0.10826923076923078,0.08,0.09086595872570627
MTOR,0.7776767676767677,0.6499999999999999,0.7060135516657255
PARP,0.31153831800383525,0.3888888888888889,0.3428477321593717
TOPOISOMERASE,0.7497863247863248,0.8666666666666666,0.7954901394901396
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.034999999999999996,0.1,0.05174825174825175
VEGFR,0.0,0.0,0.0
