moa,precision,recall,f1
AKT,0.22978354978354978,0.3,0.25408473879062116
AURORA KINASE,0.4175000000000001,0.5166666666666667,0.45476190476190476
CDK,0.2297415329768271,0.22857142857142856,0.22813590316590587
HDAC,0.8301869918699186,0.8125,0.820325995566766
HMGCR,0.4057142857142857,0.4,0.4013986013986014
JAK,0.0419047619047619,0.026666666666666665,0.03151515151515152
MTOR,0.7171717171717171,0.65,0.6722981366459627
PARP,0.3216905744754042,0.3555555555555555,0.3342388470158648
TOPOISOMERASE,0.7241666666666666,0.8333333333333333,0.771957671957672
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.41194254371673733,0.4121212121212121,0.4103847212446081
VEGFR,0.0,0.0,0.0
