moa,precision,recall,f1
AKT,0.22676767676767678,0.4333333333333333,0.2960644257703081
AURORA KINASE,0.5210695006747639,0.5666666666666667,0.5318924731182796
CDK,0.25656001765841585,0.24761904761904763,0.250842294959942
HDAC,0.7779511804721888,0.8166666666666668,0.7961588526021515
HMGCR,0.689047619047619,0.4666666666666667,0.5436208236208235
JAK,0.07261904761904761,0.06666666666666667,0.06922918469080871
MTOR,0.6142857142857142,0.6166666666666666,0.6112924112924112
PARP,0.410925925925926,0.37777777777777777,0.384411976911977
TOPOISOMERASE,0.7466666666666667,0.8833333333333334,0.8091168091168092
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.35859927548732096,0.3230769230769231,0.3385826672639678
