moa,precision,recall,f1
AKT,0.22787878787878788,0.26666666666666666,0.24028520499108735
AURORA KINASE,0.4316779788838613,0.4833333333333334,0.4521525600835946
CDK,0.21872571872571872,0.21904761904761907,0.21539703036812652
EGFR,0.45012370670265406,0.2962962962962963,0.35387325944870707
HDAC,0.7322103114624914,0.8083333333333332,0.7669436253497054
HMGCR,0.6399999999999999,0.39999999999999997,0.4737373737373737
JAK,0.04318181818181818,0.026666666666666665,0.03277591973244147
MTOR,0.7318831168831169,0.6,0.6478704666805353
PARP,0.32651515151515154,0.3555555555555555,0.33512820512820507
TOPOISOMERASE,0.6139592760180996,0.7833333333333333,0.6870585659551176
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.2455862977602108,0.37333333333333335,0.29621767516504355
