moa,precision,recall,f1
AKT,0.47647907647907645,0.4666666666666667,0.46777777777777774
AURORA KINASE,0.3027450980392157,0.24444444444444446,0.26770562770562767
CDK,0.3247953216374269,0.22222222222222224,0.2611397442109745
EGFR,0.3610498019241652,0.42857142857142855,0.3882905982905983
HDAC,0.6919172670910506,0.6577777777777778,0.6716827477919687
HMGCR,0.18,0.13333333333333333,0.1505050505050505
JAK,0.2900488400488401,0.2761904761904762,0.27595625484236247
MTOR,0.6258823529411764,0.8666666666666666,0.7264367816091954
PARP,0.324367816091954,0.39166666666666666,0.35232764587282955
TOPOISOMERASE,0.5008669108669108,0.6833333333333333,0.5742435897435898
TUBULIN,0.8261904761904763,0.6666666666666666,0.7345098039215686
TYROSINE KINASE,0.052500000000000005,0.06666666666666667,0.05861751152073733
VEGFR,0.0,0.0,0.0
