moa,precision,recall,f1
AKT,0.3740196078431372,0.4444444444444445,0.39620771385477266
AURORA KINASE,0.34285714285714286,0.26666666666666666,0.29954545454545456
CDK,0.18495610417069042,0.1925925925925926,0.18659386973180075
HDAC,0.8054650188521156,0.64,0.7099243399311234
HMGCR,0.20666666666666664,0.13333333333333333,0.15303030303030302
JAK,0.24106280193236715,0.2857142857142857,0.25822148667565903
MTOR,0.5726178190574476,0.8,0.6626622172784575
PARP,0.32277689107679686,0.3583333333333334,0.3361427770955318
TOPOISOMERASE,0.48555555555555563,0.7,0.5721679438058749
TUBULIN,0.7664285714285715,0.6444444444444445,0.695139318885449
TYROSINE KINASE,0.20064391748602275,0.17777777777777776,0.18746697577342739
VEGFR,0.09493006993006993,0.11111111111111112,0.10171122994652407
