moa,precision,recall,f1
AKT,0.5136796536796536,0.4888888888888888,0.4833333333333334
AURORA KINASE,0.38573013415892665,0.3777777777777777,0.3794225700108053
CDK,0.33544588744588744,0.31851851851851853,0.3250915750915751
HDAC,0.7949262553913716,0.6799999999999999,0.7313083888357227
HMGCR,0.02222222222222222,0.03333333333333333,0.026666666666666665
JAK,0.24895080839353284,0.2857142857142857,0.2606155218554862
MTOR,0.529004329004329,0.8333333333333334,0.6442898306275915
PARP,0.3328892128080769,0.39166666666666666,0.3570701103096445
TOPOISOMERASE,0.45714482284141733,0.65,0.5360655872780457
TUBULIN,0.862857142857143,0.6666666666666666,0.7463157894736842
TYROSINE KINASE,0.22857142857142856,0.1822222222222222,0.2005684116162318
