moa,precision,recall,f1
AKT,0.5243589743589744,0.5333333333333333,0.5147237076648841
AURORA KINASE,0.49711484593837535,0.3111111111111111,0.37195959595959593
CDK,0.26398460593750045,0.2814814814814815,0.27127335580330136
EGFR,0.2911666666666667,0.4095238095238095,0.33960012224742236
HDAC,0.7957349278232131,0.6444444444444445,0.7109366864118863
HMGCR,0.37333333333333335,0.13333333333333333,0.1823953823953824
JAK,0.2589081795397585,0.2571428571428571,0.2574847127931051
MTOR,0.5641376167691957,0.8166666666666668,0.6567661184070721
PARP,0.3431907308377896,0.39166666666666666,0.363524647932444
TOPOISOMERASE,0.5267384146641112,0.75,0.617166652405807
TUBULIN,0.8547619047619047,0.6444444444444445,0.7273669467787115
TYROSINE KINASE,0.07333333333333333,0.05,0.05934065934065934
