moa,precision,recall,f1
AKT,0.46079365079365087,0.5666666666666667,0.491002331002331
AURORA KINASE,0.4609163059163059,0.4,0.42462088636001677
CDK,0.25479113384484225,0.22857142857142856,0.2396773102806479
EGFR,0.4497448165869219,0.3037037037037037,0.3608779802607961
HDAC,0.8383484149337809,0.7083333333333333,0.7665666328936037
HMGCR,0.2725668449197861,0.5,0.3366977225672878
JAK,0.1388888888888889,0.07999999999999999,0.10144927536231885
MTOR,0.8206060606060607,0.7333333333333333,0.7736495388669302
PARP,0.4147619047619048,0.4111111111111111,0.3991131907308378
TOPOISOMERASE,0.45208074534161485,0.85,0.5847876447876448
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.0,0.0,0.0
VEGFR,0.0,0.0,0.0
