moa,precision,recall,f1
AKT,0.4928571428571429,0.6,0.5395604395604396
AURORA KINASE,0.38685680332739153,0.36666666666666664,0.3728648662681646
CDK,0.259824016563147,0.30476190476190473,0.2800975146316761
HDAC,0.8707737899843163,0.7,0.7759704074091546
HMGCR,0.2273076923076923,0.4666666666666666,0.30434609250398725
JAK,0.14686274509803923,0.10666666666666669,0.1188302277432712
MTOR,0.738894438894439,0.75,0.742773690078038
PARP,0.3707713854772678,0.45555555555555555,0.4006201769245248
TOPOISOMERASE,0.5691666666666667,0.85,0.6696428571428571
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.40992424242424247,0.24242424242424243,0.3025999604500101
VEGFR,0.0,0.0,0.0
