moa,precision,recall,f1
AKT,0.3307936507936508,0.5333333333333333,0.4063247863247863
AURORA KINASE,0.45874125874125876,0.4833333333333334,0.4672463768115942
CDK,0.2813671735560791,0.33333333333333337,0.3042725390551478
HDAC,0.8670547197588556,0.7541666666666667,0.8060779857899562
HMGCR,0.33571428571428574,0.4333333333333333,0.3723076923076923
JAK,0.2543290043290043,0.14666666666666667,0.17904176887842949
MTOR,0.71998556998557,0.6833333333333333,0.6973642299729257
PARP,0.3031312365795124,0.48888888888888893,0.37321145055004334
TOPOISOMERASE,0.5150610969025291,0.85,0.6395020766927461
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.3873040752351097,0.24615384615384617,0.3000451660967788
