moa,precision,recall,f1
AKT,0.36153846153846153,0.5999999999999999,0.4464327485380116
AURORA KINASE,0.41010101010101,0.35,0.3750310559006211
CDK,0.26456482114376845,0.24761904761904757,0.25381321520856404
EGFR,0.44792663476874006,0.3481481481481481,0.39072950919498234
HDAC,0.7918419574702715,0.7041666666666667,0.743849650546329
HMGCR,0.2683333333333333,0.4333333333333333,0.3302380952380952
JAK,0.13064935064935065,0.07999999999999999,0.09656233421750662
MTOR,0.7075757575757576,0.7166666666666667,0.7097423510466989
PARP,0.3359055083463961,0.5222222222222223,0.4068786881216992
TOPOISOMERASE,0.5630835667600373,0.85,0.6758314673831916
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.10038461538461538,0.08,0.0858064516129032
