moa,precision,recall,f1
AKT,0.25493761140819965,0.3111111111111111,0.2759244264507422
AURORA KINASE,0.24439351498175027,0.25555555555555554,0.24863858363858365
CDK,0.22764490411549237,0.1259259259259259,0.1613229859571323
EGFR,0.43510308337894543,0.45714285714285713,0.43681318681318687
HDAC,0.6438786209466023,0.6577777777777778,0.649779811604627
HMGCR,0.4333333333333333,0.13333333333333333,0.19603174603174603
JAK,0.22116465606206184,0.2666666666666666,0.23936583223539745
MTOR,0.5357953707798908,0.8166666666666668,0.6461064482421546
PARP,0.31081414446120326,0.36666666666666664,0.3353294114580698
TOPOISOMERASE,0.5773107448107448,0.7166666666666667,0.6376996336996337
TUBULIN,0.6122655122655122,0.6444444444444445,0.6231746031746032
TYROSINE KINASE,0.045,0.04,0.04180645161290323
VEGFR,0.02857142857142857,0.016666666666666666,0.021052631578947368
