moa,precision,recall,f1
AKT,0.29912698412698413,0.4666666666666666,0.3539501915708812
AURORA KINASE,0.27409897292250235,0.26666666666666666,0.269546783625731
CDK,0.19244172494172493,0.11851851851851851,0.14545641512418922
HDAC,0.6452935839113033,0.6666666666666667,0.65478339480807
HMGCR,0.09,0.06666666666666667,0.07636363636363637
JAK,0.1764311315924219,0.22857142857142856,0.19778967997455393
MTOR,0.6152777777777778,0.8166666666666668,0.701058201058201
PARP,0.37645484949832775,0.35000000000000003,0.3619961315280464
TOPOISOMERASE,0.5365966386554621,0.75,0.6237050306015823
TUBULIN,0.6238095238095237,0.5777777777777778,0.5969298245614035
TYROSINE KINASE,0.34656472359058565,0.31666666666666665,0.3304512848837621
VEGFR,0.0,0.0,0.0
