moa,precision,recall,f1
AKT,0.43508547008547005,0.5333333333333334,0.471182412358883
AURORA KINASE,0.32176736307171094,0.3555555555555555,0.3352441493038413
CDK,0.2691682002208318,0.14814814814814814,0.18508805890179753
HDAC,0.6647372723894462,0.6622222222222223,0.6623803097487307
HMGCR,0.1,0.03333333333333333,0.05
JAK,0.16973993896352071,0.23809523809523808,0.19739196350657473
MTOR,0.5658479532163743,0.8166666666666668,0.6661290322580645
PARP,0.35361130097972204,0.2833333333333333,0.31357963496540475
TOPOISOMERASE,0.5057724628312864,0.75,0.598819749216301
TUBULIN,0.8357142857142857,0.5555555555555556,0.6623076923076924
TYROSINE KINASE,0.3777025420160275,0.36,0.36750700452473845
