moa,precision,recall,f1
AKT,0.38499222999223,0.4666666666666666,0.4162448009506833
AURORA KINASE,0.33124269005847956,0.32222222222222224,0.3256586448536913
CDK,0.21229523083069993,0.15555555555555553,0.17676754163710687
EGFR,0.3810044764672714,0.41904761904761906,0.39705223722343963
HDAC,0.7233099656013648,0.6577777777777778,0.688580464898991
HMGCR,0.1,0.03333333333333333,0.05
JAK,0.22845076492135313,0.22857142857142856,0.22743157842712644
MTOR,0.5727257056668822,0.8,0.6620114942528736
PARP,0.3700884557721139,0.4,0.383555698473689
TOPOISOMERASE,0.5310964912280702,0.7166666666666667,0.5968894009216589
TUBULIN,0.7766666666666666,0.5333333333333334,0.6287955182072829
TYROSINE KINASE,0.1737969548495864,0.18333333333333332,0.1756622990235154
