moa,precision,recall,f1
AKT,0.34571428571428575,0.3333333333333333,0.3150349650349651
AURORA KINASE,0.40930402930402926,0.3666666666666667,0.38255183413078153
CDK,0.17748168498168498,0.1523809523809524,0.1623347107208031
EGFR,0.5061289587605377,0.38518518518518513,0.43719895913962253
HDAC,0.7349147337592697,0.7625,0.7476913942452779
HMGCR,0.6666666666666666,0.39999999999999997,0.49777777777777776
JAK,0.18872100122100122,0.17333333333333334,0.17776846809104874
MTOR,0.5931818181818181,0.5,0.5396480331262941
PARP,0.32625396825396824,0.3333333333333333,0.3249547542081202
TOPOISOMERASE,0.6623669467787116,0.95,0.7763231021851711
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.048863636363636366,0.1,0.06524064171122994
VEGFR,0.02857142857142857,0.06666666666666667,0.04
