moa,precision,recall,f1
AKT,0.4688888888888888,0.39999999999999997,0.4149494949494949
AURORA KINASE,0.4092485292485293,0.35,0.37397953381477406
CDK,0.1250501253132832,0.09523809523809523,0.10764175325150935
HDAC,0.7367438536306461,0.7833333333333333,0.7576079413706311
HMGCR,0.5533333333333333,0.39999999999999997,0.45353535353535346
JAK,0.17843209422156794,0.16,0.1671622495151907
MTOR,0.6553846153846153,0.6,0.624
PARP,0.2870861937452326,0.3111111111111111,0.29798656165793524
TOPOISOMERASE,0.616984126984127,0.9666666666666666,0.7514285714285714
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.3874275362318841,0.35757575757575755,0.36817261857509537
VEGFR,0.025,0.06666666666666667,0.03636363636363636
