moa,precision,recall,f1
AKT,0.15333333333333332,0.19999999999999998,0.1716666666666667
AURORA KINASE,0.45995670995671,0.3666666666666667,0.4023758392637111
CDK,0.09350055741360089,0.07619047619047618,0.08247177658942365
HDAC,0.7563625205523639,0.8125,0.7823683798406043
HMGCR,0.5883333333333333,0.3666666666666666,0.42733044733044734
JAK,0.163328700285222,0.16,0.15816264799930863
MTOR,0.5870480499892266,0.6333333333333334,0.6047457599871393
PARP,0.2536373499221797,0.26666666666666666,0.2573304069855794
TOPOISOMERASE,0.7254621848739496,1.0,0.8379559138179828
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.4033419772583239,0.3897435897435898,0.39459979165483955
