moa,precision,recall,f1
AKT,0.2533333333333333,0.26666666666666666,0.2471717171717172
AURORA KINASE,0.3410353535353535,0.3166666666666667,0.32577639751552795
CDK,0.13928104575163397,0.11428571428571428,0.1252197096869754
EGFR,0.461164439425309,0.36296296296296293,0.40553968253968253
HDAC,0.7078268398268398,0.7833333333333333,0.7430248311916099
HMGCR,0.4866666666666667,0.33333333333333337,0.38909090909090904
JAK,0.20918003565062387,0.17333333333333334,0.1878917378917379
MTOR,0.5840992340992341,0.6166666666666667,0.5985663322185062
PARP,0.29729006310242007,0.32222222222222224,0.30780587683026706
TOPOISOMERASE,0.6477222467934542,0.95,0.7681782066654147
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.15179136566907464,0.2,0.17049532325149025
