moa,precision,recall,f1
AKT,0.2980952380952381,0.3555555555555555,0.322044241037376
AURORA KINASE,0.31224016563146995,0.3555555555555555,0.3301372523353772
CDK,0.29033189033189033,0.17777777777777776,0.21487528344671203
EGFR,0.3943771043771044,0.43809523809523804,0.4135800718472301
HDAC,0.6184874137646663,0.6711111111111111,0.6421942069857454
HMGCR,0.0,0.0,0.0
JAK,0.24908863066757805,0.2571428571428571,0.2513674689300651
MTOR,0.5392857142857144,0.7166666666666667,0.6136263736263736
PARP,0.24064277180406216,0.275,0.2563358770081459
TOPOISOMERASE,0.5457142857142857,0.7166666666666667,0.6132575757575757
TUBULIN,0.4953968253968254,0.4666666666666667,0.4734592892487629
TYROSINE KINASE,0.0765079365079365,0.06666666666666667,0.07045977011494253
VEGFR,0.0,0.0,0.0
