moa,precision,recall,f1
AKT,0.34757575757575754,0.4444444444444445,0.3869674185463659
AURORA KINASE,0.3043290043290043,0.34444444444444444,0.3141025641025641
CDK,0.24868131868131868,0.15555555555555556,0.18530446651278049
HDAC,0.6510305665156622,0.6755555555555557,0.6623828465931336
HMGCR,0.3,0.06666666666666667,0.10714285714285714
JAK,0.18737950937950937,0.18095238095238092,0.1825342919347704
MTOR,0.5473529411764706,0.6833333333333333,0.6060755336617405
PARP,0.37794688644688645,0.36666666666666664,0.3678987150415722
TOPOISOMERASE,0.5215691402419091,0.7333333333333333,0.6050667611957934
TUBULIN,0.6473015873015873,0.5333333333333334,0.5778478057889822
TYROSINE KINASE,0.30660740256334273,0.33333333333333337,0.31807938853500517
VEGFR,0.0,0.0,0.0
