moa,precision,recall,f1
AKT,0.37924242424242427,0.3555555555555555,0.3610644257703081
AURORA KINASE,0.28398992312035787,0.34444444444444444,0.31029534588149854
CDK,0.27409600203717854,0.17037037037037037,0.20903559072265007
HDAC,0.6800531278768638,0.6888888888888889,0.6822478552549547
HMGCR,0.26666666666666666,0.06666666666666667,0.10158730158730159
JAK,0.14410066324512327,0.2,0.16644148151746935
MTOR,0.555952380952381,0.7333333333333334,0.6276007326007327
PARP,0.27325569358178053,0.2833333333333333,0.27572043401830637
TOPOISOMERASE,0.5290225563909775,0.7333333333333333,0.612539288668321
TUBULIN,0.7333333333333333,0.37777777777777777,0.48146951088127554
TYROSINE KINASE,0.35062271062271055,0.33777777777777773,0.34205365200837423
