moa,precision,recall,f1
AKT,0.22331738437001594,0.3111111111111111,0.25573934837092727
AURORA KINASE,0.2814676372221129,0.3333333333333333,0.303078872347165
CDK,0.1940126531161664,0.1259259259259259,0.15041516295540347
EGFR,0.39158238151373165,0.419047619047619,0.39985791985791985
HDAC,0.6916015077754208,0.671111111111111,0.6794958388350606
HMGCR,0.06666666666666667,0.03333333333333333,0.04444444444444444
JAK,0.19162554789153252,0.21904761904761902,0.2027009056654819
MTOR,0.5923076923076923,0.7333333333333333,0.6506666666666666
PARP,0.35621237000547346,0.33333333333333337,0.3416702375192941
TOPOISOMERASE,0.5274049093321539,0.7333333333333333,0.6119153149408989
TUBULIN,0.7980952380952381,0.3777777777777778,0.473982683982684
TYROSINE KINASE,0.16608695652173913,0.16666666666666669,0.1653656261558997
