moa,precision,recall,f1
AKT,0.14025974025974025,0.2,0.16289592760180996
AURORA KINASE,0.34828282828282825,0.31666666666666665,0.328151075977163
CDK,0.16350326797385623,0.15238095238095237,0.15693790312309036
EGFR,0.44352402745995423,0.3333333333333333,0.3802331174838113
HDAC,0.7138137136829842,0.7458333333333333,0.7291947669525276
HMGCR,0.675,0.4333333333333333,0.5057142857142857
JAK,0.22714285714285715,0.14666666666666667,0.1768080808080808
MTOR,0.6522544122544123,0.65,0.6488067295023817
PARP,0.36235294117647066,0.3555555555555555,0.358328173374613
TOPOISOMERASE,0.7197344322344322,0.9166666666666666,0.8036483516483516
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.10925324675324677,0.2,0.1388540870893812
VEGFR,0.02222222222222222,0.06666666666666667,0.03333333333333333
