moa,precision,recall,f1
AKT,0.30666666666666664,0.3666666666666667,0.33174825174825184
AURORA KINASE,0.4066666666666666,0.3333333333333333,0.36263588263588264
CDK,0.15974358974358976,0.1333333333333333,0.14249251526885154
HDAC,0.7467822636300897,0.7541666666666667,0.7493305967653943
HMGCR,0.7833333333333333,0.4666666666666667,0.5755555555555555
JAK,0.27354234001292826,0.2,0.22556132756132757
MTOR,0.5918803418803418,0.6666666666666667,0.6233333333333333
PARP,0.39817791330579055,0.45555555555555555,0.42018583042973284
TOPOISOMERASE,0.6685026737967915,0.9833333333333332,0.792106957725619
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.40493655169111553,0.3454545454545454,0.3666616134908044
VEGFR,0.0,0.0,0.0
