moa,precision,recall,f1
AKT,0.15777777777777774,0.19999999999999998,0.17303030303030303
AURORA KINASE,0.5517399267399268,0.4166666666666667,0.4620224921277553
CDK,0.18457548553658393,0.1333333333333333,0.15262032085561497
HDAC,0.7427419085473798,0.7541666666666667,0.7481519262072707
HMGCR,0.5438095238095237,0.4333333333333333,0.4772960372960373
JAK,0.11512113617376776,0.14666666666666667,0.12887700534759358
MTOR,0.6627428127428127,0.5833333333333334,0.617072463768116
PARP,0.3542599681020734,0.34444444444444444,0.34283825349441654
TOPOISOMERASE,0.7215601503759398,0.9833333333333332,0.8292134388908583
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.3816465858571122,0.38461538461538464,0.3796818127371018
