moa,precision,recall,f1
AKT,0.2833333333333333,0.26666666666666666,0.2603174603174603
AURORA KINASE,0.4793650793650793,0.3333333333333333,0.38661782661782657
CDK,0.19166666666666668,0.18095238095238092,0.185485664555432
EGFR,0.4112222222222222,0.3333333333333333,0.3664020196185403
HDAC,0.7291988514469333,0.7750000000000001,0.7506436184551686
HMGCR,0.82,0.36666666666666664,0.4795670995670995
JAK,0.22770562770562766,0.16,0.18544117440669164
MTOR,0.6315628815628815,0.6333333333333334,0.6284615384615385
PARP,0.3173529411764706,0.36666666666666664,0.3347840737274102
TOPOISOMERASE,0.6321076446773041,0.9666666666666666,0.7591083877039032
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.1460175438596491,0.2,0.16832363714716653
