moa,precision,recall,f1
AKT,0.40930735930735934,0.4,0.3760292034433911
AURORA KINASE,0.2850417295123177,0.34444444444444444,0.30976482785540316
CDK,0.22953705333568028,0.17777777777777778,0.19971179725271845
EGFR,0.3560851926977687,0.3333333333333333,0.3417098844672657
HDAC,0.6468425238600213,0.5288888888888889,0.5789214274097996
HMGCR,0.3333333333333333,0.1,0.146031746031746
JAK,0.22600401971111356,0.24761904761904763,0.23488129176282485
MTOR,0.5541208791208792,0.7833333333333333,0.6442089947089947
PARP,0.2645863332070229,0.31666666666666665,0.2881266462398538
TOPOISOMERASE,0.4802352941176471,0.7166666666666666,0.5713202858030445
TUBULIN,0.7378571428571429,0.6222222222222222,0.6701393188854489
TYROSINE KINASE,0.039037433155080216,0.04,0.038695426195426194
VEGFR,0.01818181818181818,0.016666666666666666,0.017391304347826087
