moa,precision,recall,f1
AKT,0.32563131313131316,0.4666666666666667,0.3752019919078743
AURORA KINASE,0.2965922381711855,0.3777777777777777,0.3306747383858767
CDK,0.42405502392344496,0.25925925925925924,0.3175716517493486
HDAC,0.6801572411328507,0.5644444444444445,0.6147000038186886
HMGCR,0.0,0.0,0.0
JAK,0.24836660509614475,0.2571428571428571,0.24928351192005613
MTOR,0.6192343604108311,0.8,0.6963355928873171
PARP,0.29432190500833766,0.325,0.3037927968479958
TOPOISOMERASE,0.4766666666666667,0.7166666666666666,0.5710185185185186
TUBULIN,0.7404761904761905,0.6222222222222221,0.6745098039215687
TYROSINE KINASE,0.26501989201477694,0.27222222222222225,0.2662758923164235
VEGFR,0.05,0.05,0.05
