moa,precision,recall,f1
AKT,0.37666666666666665,0.3555555555555555,0.3530812324929972
AURORA KINASE,0.26239865397760137,0.3333333333333333,0.2919898908686094
CDK,0.327014652014652,0.28888888888888886,0.301039796827423
HDAC,0.805847580411475,0.5866666666666667,0.6758319629100947
HMGCR,0.08333333333333333,0.06666666666666667,0.07333333333333333
JAK,0.3024766142274485,0.35238095238095235,0.3133259011519881
MTOR,0.4770995670995671,0.8333333333333334,0.606662210338681
PARP,0.30063660477453585,0.30833333333333335,0.30303283778216394
TOPOISOMERASE,0.4622693096377307,0.75,0.57110229429015
TUBULIN,0.8595238095238095,0.6444444444444444,0.7345098039215687
TYROSINE KINASE,0.3064929480564155,0.21777777777777776,0.24925065827437937
