moa,precision,recall,f1
AKT,0.3613675213675213,0.4444444444444445,0.395879851143009
AURORA KINASE,0.3575522138680033,0.4111111111111111,0.3803444176441888
CDK,0.2841269841269841,0.274074074074074,0.27595876403014363
EGFR,0.29467532467532465,0.2952380952380952,0.2948707560165303
HDAC,0.7709963780894761,0.5377777777777778,0.629772193468644
HMGCR,0.14666666666666667,0.1,0.11717171717171718
JAK,0.259735434843794,0.3428571428571428,0.29163988263851465
MTOR,0.5204489911906792,0.8166666666666668,0.6316876482393724
PARP,0.3078717948717949,0.3,0.3030383426097712
TOPOISOMERASE,0.5232608695652174,0.7333333333333333,0.6076190476190476
TUBULIN,0.8519480519480519,0.6666666666666666,0.74
TYROSINE KINASE,0.059166666666666666,0.05,0.052980352980352974
