moa,precision,recall,f1
AKT,0.2583333333333333,0.3333333333333333,0.2885714285714286
AURORA KINASE,0.42150072150072154,0.4,0.4076126771778945
CDK,0.18246031746031746,0.14285714285714285,0.15986337986337987
EGFR,0.4001656314699793,0.31851851851851853,0.3542486441385065
HDAC,0.8664343883581633,0.6125,0.7151425792463078
HMGCR,0.25888663967611336,0.5,0.3350300751879699
JAK,0.21261904761904762,0.17333333333333334,0.18417391304347824
MTOR,0.7817948717948718,0.6833333333333333,0.7251688311688311
PARP,0.3672014260249554,0.36666666666666664,0.3576190476190476
TOPOISOMERASE,0.513927135666266,0.9333333333333332,0.6607754680819696
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.04143503555268261,0.1,0.05844393592677346
VEGFR,0.0,0.0,0.0
