moa,precision,recall,f1
AKT,0.4272222222222222,0.6,0.49714285714285716
AURORA KINASE,0.4542424242424243,0.4,0.4230171277997366
CDK,0.238399835458659,0.21904761904761902,0.22625321746132182
HDAC,0.8348646125116712,0.6875,0.7517894078280076
HMGCR,0.24873015873015875,0.33333333333333337,0.27820346320346323
JAK,0.10508658008658009,0.06666666666666667,0.08058736754388927
MTOR,0.7638095238095237,0.7,0.7154415954415955
PARP,0.35340490263090885,0.47777777777777775,0.40204435204435196
TOPOISOMERASE,0.5289542483660131,0.8833333333333334,0.6580700317262183
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.3889447757324345,0.2363636363636364,0.2901012379055916
VEGFR,0.0,0.0,0.0
