moa,precision,recall,f1
AKT,0.2990367965367965,0.5,0.36292883587001235
AURORA KINASE,0.3743740031897927,0.4166666666666667,0.38935143865017635
CDK,0.2445719040684716,0.21904761904761902,0.22910903050437934
HDAC,0.8508402774256432,0.6833333333333333,0.7575034006417191
HMGCR,0.40726495726495726,0.4333333333333333,0.38696741854636585
JAK,0.24540196645459805,0.2533333333333333,0.24667568176695961
MTOR,0.7752164502164501,0.6333333333333333,0.6887795575896263
PARP,0.29404188348250726,0.4111111111111111,0.33652924911283577
TOPOISOMERASE,0.47916578232426765,1.0,0.6459927539112506
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.38183512140033876,0.24615384615384622,0.2982304580836649
