moa,precision,recall,f1
AKT,0.5745238095238095,0.5666666666666667,0.5464002664002664
AURORA KINASE,0.424963924963925,0.45,0.4305830723222027
CDK,0.22810827974914663,0.21904761904761902,0.221999668045608
EGFR,0.42793186523621307,0.3481481481481481,0.3834335259472037
HDAC,0.7933684919743181,0.7208333333333333,0.7532895590554498
HMGCR,0.3495238095238095,0.4333333333333333,0.37765567765567765
JAK,0.20764957264957262,0.18666666666666668,0.1945622119815668
MTOR,0.8114285714285714,0.6333333333333333,0.7081339712918661
PARP,0.31296252766841,0.4333333333333333,0.35890003432202916
TOPOISOMERASE,0.5309123385849729,0.95,0.677410054448594
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.21157731157731155,0.14666666666666667,0.17190104581408927
