moa,precision,recall,f1
AKT,0.3491486291486291,0.31111111111111106,0.31701058201058196
AURORA KINASE,0.4576744892534367,0.5444444444444445,0.4942554259945565
CDK,0.33529411764705885,0.17037037037037037,0.22125768967874232
EGFR,0.6564140786749482,0.7904761904761903,0.7134249325553672
HDAC,0.6308982487718768,0.6933333333333334,0.657994701438726
HMGCR,0.15666666666666668,0.1,0.12080808080808081
JAK,0.21817182817182817,0.15238095238095237,0.17579916751533187
MTOR,0.5846031746031747,0.2833333333333333,0.37513268465280847
PARP,0.5105655634687892,0.7,0.5900446030330062
TOPOISOMERASE,0.4867892976588629,0.5166666666666667,0.48826373626373626
TUBULIN,0.3211483253588517,0.5777777777777777,0.40857142857142853
TYROSINE KINASE,0.013333333333333332,0.013333333333333332,0.013333333333333332
VEGFR,0.05818181818181818,0.03333333333333333,0.040920716112531966
