moa,precision,recall,f1
AKT,0.36355644355644356,0.3555555555555555,0.3448249576510446
AURORA KINASE,0.4160191541656072,0.5111111111111112,0.45710628471860815
CDK,0.3292207792207792,0.23703703703703702,0.2745983499782892
HDAC,0.6040363345177918,0.7511111111111111,0.6684671491912295
HMGCR,0.2166666666666667,0.2333333333333333,0.21714285714285714
JAK,0.19587301587301587,0.12380952380952381,0.1477496311642653
MTOR,0.6466666666666667,0.24999999999999994,0.33560583207642025
PARP,0.5365672165672166,0.7333333333333333,0.6186944933263355
TOPOISOMERASE,0.5448051948051947,0.5,0.5146353163744468
TUBULIN,0.6053174603174603,0.6888888888888888,0.6267670811014464
TYROSINE KINASE,0.38951313816775823,0.3388888888888889,0.3593121674477607
VEGFR,0.025,0.016666666666666666,0.02
