moa,precision,recall,f1
AKT,0.3161904761904762,0.37777777777777777,0.32998343685300213
AURORA KINASE,0.4313110145668285,0.6555555555555556,0.5143315588264382
CDK,0.3918767507002801,0.28148148148148144,0.32707607994842036
HDAC,0.6024963382482179,0.6888888888888889,0.6420184908555049
HMGCR,0.21214285714285713,0.2333333333333333,0.21998001998002
JAK,0.18778388278388278,0.11428571428571428,0.14120673556779034
MTOR,0.5833333333333333,0.26666666666666666,0.35764705882352943
PARP,0.5291029975208474,0.7,0.6016487144268536
TOPOISOMERASE,0.5035164835164835,0.45,0.46930143540669855
TUBULIN,0.3905882352941177,0.6222222222222222,0.4755708502024292
TYROSINE KINASE,0.5751570325099736,0.4488888888888889,0.5030776736291067
