moa,precision,recall,f1
AKT,0.3401437451437451,0.31111111111111106,0.3152924199983024
AURORA KINASE,0.44722852859284645,0.6,0.5100187626395472
CDK,0.3446266968325792,0.18518518518518517,0.23995818135353017
EGFR,0.5950842081048031,0.8095238095238095,0.6816040900181337
HDAC,0.64788367778401,0.6444444444444445,0.6458066198682981
HMGCR,0.2833333333333333,0.1,0.13047619047619047
JAK,0.2763736263736264,0.18095238095238092,0.21836929366341132
MTOR,0.4023809523809524,0.16666666666666666,0.22530075187969922
PARP,0.6084935897435898,0.7333333333333333,0.6633086062011012
TOPOISOMERASE,0.36329699712052654,0.4833333333333334,0.4106189510286874
TUBULIN,0.33776549281920126,0.6666666666666666,0.4401591056002821
TYROSINE KINASE,0.17333333333333334,0.14166666666666666,0.15170326749274116
