moa,precision,recall,f1
AKT,0.591923076923077,0.8333333333333334,0.6681203007518797
AURORA KINASE,0.8564285714285713,0.5,0.6278018575851393
CDK,0.3780350877192983,0.35238095238095235,0.3627183705444575
EGFR,0.7498325694383863,0.6222222222222222,0.674842823486216
HDAC,0.7216828619181561,0.5625,0.6261579130346309
HMGCR,0.19948717948717948,0.3,0.2263613579403053
JAK,0.15303030303030302,0.14666666666666667,0.1457919457919458
MTOR,0.8567316017316017,0.6833333333333333,0.7531405589071494
PARP,0.4659774436090226,0.5222222222222223,0.4913932440248229
TOPOISOMERASE,0.2482758620689655,0.3833333333333334,0.29686411149825787
TUBULIN,0.01818181818181818,0.06666666666666667,0.02857142857142857
TYROSINE KINASE,0.20277777777777778,0.2,0.193015873015873
VEGFR,0.041666666666666664,0.13333333333333333,0.06303030303030303
