moa,precision,recall,f1
AKT,0.6678571428571429,0.9666666666666668,0.7763736263736265
AURORA KINASE,0.8528571428571429,0.5,0.626749226006192
CDK,0.4133746867167919,0.36190476190476184,0.3827357170835432
HDAC,0.7802183323922455,0.6250000000000001,0.6879301058690513
HMGCR,0.22444444444444445,0.23333333333333334,0.21969696969696967
JAK,0.30500000000000005,0.24,0.2658637992831541
MTOR,0.8986363636363637,0.6166666666666667,0.7226780389709451
PARP,0.48683473389355747,0.5555555555555556,0.5170679830165754
TOPOISOMERASE,0.28170072239422084,0.55,0.36747962548804064
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.6005618849561395,0.5151515151515151,0.5532030377813033
VEGFR,0.0,0.0,0.0
