moa,precision,recall,f1
AKT,0.5624242424242424,0.9666666666666668,0.7070494864612512
AURORA KINASE,0.6501010101010101,0.55,0.5949934123847167
CDK,0.3705334450495741,0.4095238095238095,0.38666963086702166
HDAC,0.6981395348837209,0.6958333333333334,0.6953076019489681
HMGCR,0.0957042957042957,0.16666666666666666,0.11993331745653726
JAK,0.1784688995215311,0.16,0.16582805429864253
MTOR,0.8633116883116884,0.55,0.6650953470633105
PARP,0.548611111111111,0.5777777777777778,0.559030766778256
TOPOISOMERASE,0.302979797979798,0.21666666666666665,0.2475971258068445
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5991251325556733,0.5794871794871794,0.5813870006965629
