moa,precision,recall,f1
AKT,0.6451948051948052,0.9333333333333333,0.7561085972850679
AURORA KINASE,0.7536507936507937,0.5166666666666667,0.607123870281765
CDK,0.3416666666666667,0.32380952380952377,0.3295238095238095
EGFR,0.6355201525054467,0.674074074074074,0.6492619891776121
HDAC,0.7286291486291487,0.6708333333333334,0.6984135889044725
HMGCR,0.13999999999999999,0.13333333333333333,0.1340909090909091
JAK,0.18338707731896586,0.21333333333333332,0.1950479422538246
MTOR,0.7627777777777778,0.5666666666666667,0.6487445887445887
PARP,0.44696969696969696,0.5333333333333334,0.4852380952380952
TOPOISOMERASE,0.1577777777777778,0.21666666666666665,0.18114478114478114
TUBULIN,0.025,0.06666666666666667,0.03636363636363636
TYROSINE KINASE,0.39,0.30666666666666664,0.33476691729323305
