moa,precision,recall,f1
AKT,0.6262987012987014,0.5333333333333332,0.5726470588235294
AURORA KINASE,0.5595555555555556,0.6777777777777778,0.6067489460084319
CDK,0.5,0.2962962962962963,0.3702744872221465
EGFR,0.6485546772068511,0.819047619047619,0.7206065772817691
HDAC,0.5948445992016002,0.6977777777777778,0.641717408713745
HMGCR,0.3133333333333333,0.2333333333333333,0.2616161616161616
JAK,0.35,0.22857142857142856,0.26973757425370326
MTOR,0.6066666666666667,0.16666666666666669,0.25400560224089636
PARP,0.5299377451816476,0.7083333333333334,0.5994008097165991
TOPOISOMERASE,0.5290826820238584,0.4833333333333333,0.49075062468765623
TUBULIN,0.2918181818181818,0.5333333333333334,0.36351269554045074
TYROSINE KINASE,0.007692307692307693,0.013333333333333332,0.00975609756097561
VEGFR,0.04,0.016666666666666666,0.023529411764705882
