moa,precision,recall,f1
AKT,0.5295238095238096,0.4888888888888888,0.4946491228070176
AURORA KINASE,0.47755201787459856,0.7,0.5656107660455487
CDK,0.43841112531969306,0.34814814814814815,0.3807477693768589
HDAC,0.574911656535976,0.72,0.6392359510080078
HMGCR,0.23523809523809525,0.2,0.21379953379953381
JAK,0.22521671826625383,0.18095238095238092,0.19911491138705517
MTOR,0.8533333333333333,0.21666666666666665,0.34106442577030815
PARP,0.5409450830140485,0.6666666666666667,0.596835967091239
TOPOISOMERASE,0.5843589743589744,0.5666666666666668,0.5690370370370371
TUBULIN,0.4468054298642534,0.5111111111111111,0.3634882764294529
TYROSINE KINASE,0.40486590038314174,0.33333333333333337,0.36446265938069217
VEGFR,0.04318181818181818,0.03333333333333333,0.03739130434782609
