moa,precision,recall,f1
AKT,0.5545121545121545,0.6222222222222221,0.5783333333333334
AURORA KINASE,0.48099825202606067,0.7666666666666667,0.5902273686188544
CDK,0.43585643985643985,0.4222222222222222,0.42377371305942735
HDAC,0.6144011598691401,0.64,0.6240411845390388
HMGCR,0.19166666666666665,0.2,0.19238095238095237
JAK,0.2591575091575091,0.17142857142857143,0.20122511700605009
MTOR,0.9,0.15,0.24868131868131868
PARP,0.580018833389245,0.7,0.6339999902264053
TOPOISOMERASE,0.5071497584541063,0.55,0.5013756613756614
TUBULIN,0.44624708624708626,0.6888888888888889,0.5371861471861472
TYROSINE KINASE,0.562894391834484,0.45777777777777773,0.5010753992941377
