moa,precision,recall,f1
AKT,0.528974358974359,0.5111111111111112,0.5099165024861619
AURORA KINASE,0.5037315510999721,0.6,0.5370195195195195
CDK,0.535093984962406,0.3259259259259259,0.4028478284481659
EGFR,0.5536507936507936,0.7523809523809524,0.6296846394614068
HDAC,0.6347986068323669,0.6222222222222222,0.6255324962966159
HMGCR,0.3066666666666667,0.33333333333333337,0.31731601731601733
JAK,0.2703673564287375,0.2095238095238095,0.23077779014131528
MTOR,0.44000000000000006,0.16666666666666666,0.2280406899601946
PARP,0.5882478632478632,0.6416666666666667,0.6134705882352941
TOPOISOMERASE,0.5257575757575758,0.6333333333333334,0.5581109013653771
TUBULIN,0.3312020460358056,0.5555555555555556,0.39032805429864253
TYROSINE KINASE,0.1722731232961412,0.14166666666666666,0.15296827314383918
