moa,precision,recall,f1
AKT,0.6457575757575758,1.0,0.7826050420168067
AURORA KINASE,0.830952380952381,0.4666666666666667,0.5960233918128655
CDK,0.36943069135288814,0.3142857142857142,0.33604416255579045
EGFR,0.6597738468428124,0.6518518518518519,0.6523594892502456
HDAC,0.6915761369177518,0.6416666666666668,0.6628283138020168
HMGCR,0.09318181818181819,0.16666666666666666,0.1187675070028011
JAK,0.10553221288515406,0.08,0.08788793734445909
MTOR,0.875,0.6166666666666667,0.7173684210526317
PARP,0.49656693711967553,0.5444444444444445,0.5134423668683599
TOPOISOMERASE,0.33935897435897433,0.4166666666666667,0.3705185185185185
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.13484848484848486,0.13333333333333333,0.13019607843137254
VEGFR,0.0,0.0,0.0
