moa,precision,recall,f1
AKT,0.7137362637362638,1.0,0.825216888374783
AURORA KINASE,0.9269841269841269,0.5166666666666667,0.6579979360165119
CDK,0.36752080871074005,0.34285714285714286,0.3521237585943468
HDAC,0.6798197144470437,0.65,0.6625066383084557
HMGCR,0.22160173160173158,0.2666666666666667,0.2294153558859441
JAK,0.24988095238095237,0.21333333333333332,0.2202624117350625
MTOR,0.9214141414141415,0.6666666666666667,0.7616146853998517
PARP,0.527885513179631,0.5666666666666667,0.5360898506200049
TOPOISOMERASE,0.271203007518797,0.38333333333333336,0.3123544748969197
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.6410506479471996,0.5696969696969696,0.601799294199513
VEGFR,0.2,0.06666666666666667,0.1
