moa,precision,recall,f1
AKT,0.7676190476190475,1.0,0.8638461538461539
AURORA KINASE,0.603030303030303,0.5166666666666667,0.5546583850931677
CDK,0.3316491228070175,0.3238095238095238,0.3265910759442043
HDAC,0.6935317219012871,0.7083333333333333,0.6998441459931188
HMGCR,0.11666666666666665,0.1,0.10158730158730159
JAK,0.12611832611832613,0.10666666666666666,0.11480990274093723
MTOR,0.9777777777777779,0.5999999999999999,0.7347899159663865
PARP,0.5112380952380953,0.5666666666666667,0.5338092344212295
TOPOISOMERASE,0.18833333333333332,0.23333333333333334,0.19793417366946778
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5178921078921078,0.5487179487179488,0.5316644693540512
